site_id,site_name,receiving_watercourse,in_conham_filter,outfall_lat,outfall_lon,distance_miles,upstream,event_start,event_end,duration_hours
WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,True,51.38729616,-2.35810954,8.59,True,2025-06-03T11:06:00+00:00,2025-06-03T11:28:00+00:00,0.37
WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,True,51.39722012,-2.390054651,7.052,True,2025-06-03T11:06:00+00:00,2025-06-03T11:16:00+00:00,0.17
WXW00729,MONKTON COMBE MILL LANE,MIDFORD BROOK (VIA SWS),False,51.3565886,-2.32746681,10.82,True,2025-06-03T11:08:00+00:00,2025-06-03T11:38:00+00:00,0.5
WXW00686,BRADFORD-ON-AVON MARKET ST JUNCTION WITH CHURCH ST,RIVER AVON (VIA SWS),True,51.34791074,-2.251289209,13.938,True,2025-06-03T11:08:00+00:00,2025-06-03T11:36:00+00:00,0.47
WXW00225,CAM VALLEY DUNKERTON INLET,CAM BROOK(S),False,51.32846272,-2.43008923,9.223,True,2025-06-03T11:12:00+00:00,2025-06-03T11:13:00+00:00,0.02
WXW00473,PAULTON GOOSARD BRIDGE,CAM BROOK,False,51.31761679,-2.496425315,8.946,True,2025-06-03T11:14:00+00:00,2025-06-03T11:24:00+00:00,0.17
WXW01283,BRADFORD-ON-AVON SPRING FIELD WOOLLEY ST JUNCTION,RIVER AVON (VIA SWS),True,51.34909763,-2.242780748,14.222,True,2025-06-03T11:16:00+00:00,2025-06-03T11:18:00+00:00,0.03
WXW00093,BATH AVON STREET O/S BATH TECHNICAL COLLEGE,RIVER AVON VIA SWS,True,51.38020426,-2.363083302,8.644,True,2025-06-03T11:16:00+00:00,2025-06-03T11:20:00+00:00,0.07
WXW01127,HOLT THE STAR,TRIBUTARY OF THE RIVER AVON,False,51.35396093,-2.195402024,15.922,True,2025-06-03T11:22:00+00:00,2025-06-03T12:02:00+00:00,0.67
WXW00355,CHIPPENHAM HIGH STREET O/S 6,RIVER AVON(S),False,51.45865915,-2.115893157,18.063,True,2025-06-03T11:24:00+00:00,2025-06-03T11:40:00+00:00,0.27
WXW00225,CAM VALLEY DUNKERTON INLET,CAM BROOK(S),False,51.32846272,-2.43008923,9.223,True,2025-06-03T11:29:00+00:00,2025-06-03T11:30:00+00:00,0.02
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-06-03T11:33:00+00:00,2025-06-03T11:38:00+00:00,0.08
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-06-03T11:43:00+00:00,2025-06-03T11:48:00+00:00,0.08
WXW00964,MELKSHAM BATH ROAD OFF ROAD F/O SCOUT HALL,CLACKERS BROOK,False,51.37611703,-2.138500273,17.728,True,2025-06-03T11:48:00+00:00,2025-06-03T12:18:00+00:00,0.5
WXW00319,COMPTON DANDO INLET,BATHFORD BROOK (S),True,51.3787231,-2.49925566,4.82,True,2025-06-03T11:55:00+00:00,2025-06-03T11:57:00+00:00,0.03
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-06-05T11:17:00+00:00,2025-06-05T11:20:00+00:00,0.05
WXW00766,BRISTOL MULLER ROAD R/O HORFIELD UNITED REFORM CHURCH,HORFIELD BROOK (S),False,51.48449773,-2.578668768,3.326,False,2025-06-05T11:28:00+00:00,2025-06-05T13:14:00+00:00,1.77
WXW00408,BATH ENTRY HILL GARDENS R/G NO 6 (LYNCOMBE VALE),THE RIVER AVON,False,51.36781734,-2.364723499,9.06,True,2025-06-05T11:32:00+00:00,2025-06-05T11:52:00+00:00,0.33
WXW00426,BRISTOL FILTON AVENUE OUTSIDE NO 230,HORFIELD BROOK VIA SWS,False,51.49246722,-2.576277729,3.742,False,2025-06-05T11:32:00+00:00,2025-06-05T12:02:00+00:00,0.5
WXW00924,BATH RECREATION GROUND BY NORTH STAND,RIVER AVON,True,51.38273558,-2.355717322,8.831,True,2025-06-05T11:34:00+00:00,2025-06-05T12:08:00+00:00,0.57
WXW00406,BATH ENGLISHCOMBE LANE / SOUTHDOWN ROAD JUNCTION,RIVER AVON (S),False,51.36731503,-2.389484506,8.243,True,2025-06-05T11:34:00+00:00,2025-06-05T11:36:00+00:00,0.03
WXW00729,MONKTON COMBE MILL LANE,MIDFORD BROOK (VIA SWS),False,51.3565886,-2.32746681,10.82,True,2025-06-05T11:38:00+00:00,2025-06-05T12:34:00+00:00,0.93
WXW00259,BATH WALCOT RIVER BANK END OF CHATHAM ROW,RIVER AVON,True,51.38729616,-2.35810954,8.59,True,2025-06-05T11:44:00+00:00,2025-06-05T12:08:00+00:00,0.4
WXW00093,BATH AVON STREET O/S BATH TECHNICAL COLLEGE,RIVER AVON VIA SWS,True,51.38020426,-2.363083302,8.644,True,2025-06-05T11:44:00+00:00,2025-06-05T11:58:00+00:00,0.23
WXW01170,BATH UPPER BRISTOL ROAD ADJ MARLBOROUGH LANE,RIVER AVON,True,51.38413278,-2.371980745,8.176,True,2025-06-05T11:48:00+00:00,2025-06-05T11:50:00+00:00,0.03
WXW01151,BATH WESTON VILLAGE SEWER,RIVER AVON VIA SWS,True,51.39722012,-2.390054651,7.052,True,2025-06-05T11:50:00+00:00,2025-06-05T12:12:00+00:00,0.37
WXW00184,CHIPPENHAM BRISTOL ROAD,HARDENHUISH BROOK,False,51.46403164,-2.128876778,17.528,True,2025-06-05T12:02:00+00:00,2025-06-05T12:04:00+00:00,0.03
